SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,MUGE (19E/01UG),,MUGE (19E/01UG),,MURES ASSECA (TERRUGEM) (20M/04G),,MURES ASSECA (TERRUGEM) (20M/04G),,MURÇA (05M/03U),,MURÇA (05M/03U),,MÉRTOLA (28L/01UG),,MÉRTOLA (28L/01UG),,NISA (16L/03UG),,NISA (16L/03UG),,NOGUEIRA (03E/02UG),,NOGUEIRA (03E/02UG),,ODEMIRA (28F/01UG),,ODEMIRA (28F/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
18/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
22/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
28/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
29/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
30/04/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
01/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
02/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
03/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
04/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
05/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
06/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
07/05/1992 09:00,0,(vco),,,,,,,,,,,0.2,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
08/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
09/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
10/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
11/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
12/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
13/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
14/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.3,(vco),,,0.5,(vco),,,0,(vco),,,
15/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
16/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,1.2,(vco),,,0,(vco),,,0,(vco),,,
17/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
18/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
22/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,4.1,(vco),,,2.5,(vco),,,5,(vco),,,
24/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,3.1,(vco),,,20.5,(vco),,,1.5,(vco),,,
25/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/05/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/05/1992 09:00,4.1,(vco),,,,,,,,,,,0,(vco),,,2.3,(vco),,,27,(vco),,,0,(vco),,,
28/05/1992 09:00,16.4,(vco),,,,,,,,,,,0,(vco),,,5.3,(vco),,,13.5,(vco),,,2.8,(vco),,,
29/05/1992 09:00,7.1,(vco),,,,,,,,,,,0,(vco),,,31.3,(vco),,,3.2,(vco),,,14.7,(vco),,,
30/05/1992 09:00,2.1,(vco),,,,,,,,,,,0.2,(vco),,,0.8,(vco),,,0,(vco),,,4.2,(vco),,,
31/05/1992 09:00,0,(vco),,,,,,,,,,,0.3,(vco),,,0,(vco),,,16.5,(vco),,,0,(vco),,,
01/06/1992 09:00,7.5,(vco),,,,,,,,,,,0,(vco),,,8.2,(vco),,,2,(vco),,,0.5,(vco),,,
02/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,10,(vco),,,1.4,(vco),,,
03/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,3,(vco),,,0,(vco),,,
04/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.7,(vco),,,0,(vco),,,
05/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,5.2,(vco),,,0,(vco),,,
06/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,2,(vco),,,0,(vco),,,
07/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,2,(vco),,,0,(vco),,,
08/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.7,(vco),,,16.5,(vco),,,0,(vco),,,
09/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.2,(vco),,,4.7,(vco),,,0.4,(vco),,,
10/06/1992 09:00,1.5,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,1.2,(vco),,,0.5,(vco),,,
11/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,1.5,(vco),,,0,(vco),,,
12/06/1992 09:00,1.6,(vco),,,,,,,,,,,3.2,(vco),,,3.7,(vco),,,22,(vco),,,5,(vco),,,
13/06/1992 09:00,1.2,(vco),,,,,,,,,,,2.1,(vco),,,6.4,(vco),,,0,(vco),,,2.3,(vco),,,
14/06/1992 09:00,16.5,(vco),,,,,,,,,,,6.4,(vco),,,0.7,(vco),,,0,(vco),,,14.7,(vco),,,
15/06/1992 09:00,14,(vco),,,,,,,,,,,18.2,(vco),,,5.7,(vco),,,0,(vco),,,14.5,(vco),,,
16/06/1992 09:00,0,(vco),,,,,,,,,,,2.1,(vco),,,5.9,(vco),,,0,(vco),,,7,(vco),,,
17/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,1.4,(vco),,,0,(vco),,,0,(vco),,,
18/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,6.7,(vco),,,0,(vco),,,0,(vco),,,
19/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
22/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
28/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
29/06/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
30/06/1992 09:00,1.6,(vco),,,,,,,,,,,0,(vco),,,0.4,(vco),,,24,(vco),,,0.4,(vco),,,
01/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,4,(vco),,,0,(vco),,,
02/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
03/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
04/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
05/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
06/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
07/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
08/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
09/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
10/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
11/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
12/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
13/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
14/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
15/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
16/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
17/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
18/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
22/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
28/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
29/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
30/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
31/07/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.5,(vco),,,0,(vco),,,0,(vco),,,
01/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
02/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
03/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
04/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
05/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
06/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
07/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
08/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
09/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
10/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,5,(vco),,,0,(vco),,,
11/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
12/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
13/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
14/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
15/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
16/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
17/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
18/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.6,(vco),,,0,(vco),,,0,(vco),,,
20/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,3,(vco),,,0,(vco),,,
21/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,14.5,(vco),,,0,(vco),,,
22/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,1.5,(vco),,,0,(vco),,,
28/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.3,(vco),,,21,(vco),,,0,(vco),,,
29/08/1992 09:00,5.5,(vco),,,,,,,,,,,2.3,(vco),,,4.1,(vco),,,9.5,(vco),,,0,(vco),,,
30/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,11,(vco),,,0,(vco),,,
31/08/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,3.2,(vco),,,41,(vco),,,0,(vco),,,
01/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0.3,(vco),,,
02/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
03/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.2,(vco),,,0,(vco),,,
04/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
05/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
06/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
07/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
08/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
09/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
10/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
11/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.5,(vco),,,0,(vco),,,
12/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
13/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
14/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
15/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
16/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
17/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
18/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.5,(vco),,,0,(vco),,,
19/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
22/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,13.5,(vco),,,0.4,(vco),,,
23/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,4,(vco),,,0,(vco),,,
26/09/1992 09:00,22.1,(vco),,,,,,,,,,,6.2,(vco),,,24.9,(vco),,,82.5,(vco),,,18.2,(vco),,,
27/09/1992 09:00,11.5,(vco),,,,,,,,,,,0,(vco),,,3.4,(vco),,,12,(vco),,,1.3,(vco),,,
28/09/1992 09:00,9.8,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
29/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.2,(vco),,,40,(vco),,,0.3,(vco),,,
30/09/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,4.5,(vco),,,0,(vco),,,
01/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
02/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
03/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
04/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
05/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
06/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
07/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
08/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
09/10/1992 09:00,7.3,(vco),,,,,,,,,,,0,(vco),,,6.7,(vco),,,0,(vco),,,3.7,(vco),,,
10/10/1992 09:00,3.1,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
11/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,3.5,(vco),,,
12/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.6,(vco),,,0,(vco),,,0.5,(vco),,,
13/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
14/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
15/10/1992 09:00,6.2,(vco),,,,,,,,,,,2.6,(vco),,,0,(vco),,,0,(vco),,,1,(vco),,,
16/10/1992 09:00,10.8,(vco),,,,,,,,,,,3.4,(vco),,,22.1,(vco),,,0,(vco),,,25.7,(vco),,,
17/10/1992 09:00,3.2,(vco),,,,,,,,,,,0,(vco),,,5.1,(vco),,,0,(vco),,,0.4,(vco),,,
18/10/1992 09:00,2.1,(vco),,,,,,,,,,,3.6,(vco),,,0,(vco),,,0,(vco),,,3.5,(vco),,,
19/10/1992 09:00,0,(vco),,,,,,,,,,,4.2,(vco),,,7.6,(vco),,,0,(vco),,,5,(vco),,,
20/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,3,(vco),,,0,(vco),,,
21/10/1992 09:00,3.2,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,1.5,(vco),,,
22/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.4,(vco),,,4.5,(vco),,,0,(vco),,,
23/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,7,(vco),,,0.5,(vco),,,
24/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,13,(vco),,,0,(vco),,,
25/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,1,(vco),,,0,(vco),,,
27/10/1992 09:00,2.1,(vco),,,,,,,,,,,0,(vco),,,3.9,(vco),,,38,(vco),,,0.4,(vco),,,
28/10/1992 09:00,3,(vco),,,,,,,,,,,0,(vco),,,8.6,(vco),,,38.5,(vco),,,0.3,(vco),,,
29/10/1992 09:00,2.1,(vco),,,,,,,,,,,0,(vco),,,1.6,(vco),,,23,(vco),,,2.2,(vco),,,
30/10/1992 09:00,5.2,(vco),,,,,,,,,,,3.2,(vco),,,10.1,(vco),,,26.5,(vco),,,5.7,(vco),,,
31/10/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
01/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
02/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
03/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.2,(vco),,,,,,,
04/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,9.5,(vco),,,,,,,
05/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
06/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
07/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
08/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
09/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
10/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,7,(vco),,,,,,,
11/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,3,(vco),,,,,,,
12/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,14,(vco),,,,,,,
13/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,11.5,(vco),,,,,,,
14/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,9,(vco),,,,,,,
15/11/1992 09:00,11.3,(vco),,,,,,,,,,,2.3,(vco),,,9.8,(vco),,,23,(vco),,,,,,,
16/11/1992 09:00,2,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,19.5,(vco),,,,,,,
17/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,4,(vco),,,,,,,
18/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,10,(vco),,,,,,,
19/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,1,(vco),,,,,,,
20/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
21/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
23/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/11/1992 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,6.5,(vco),,,,,,,
